t,y_t,h_mean,vol,ess,loglik,scenario,sigma
202,0.01167379,-5.982633,0.18888408,368.93,2.2282,Gradual Build,30.0
203,-0.02703356,-5.923070,0.25839204,398.16,1.7495,Gradual Build,30.0
204,-0.00047195,-6.075412,0.25961965,106.77,2.7805,Gradual Build,30.0
205,-0.02857484,-6.090542,0.18862730,405.55,1.7266,Gradual Build,30.0
206,-0.01990250,-6.168379,0.20830120,402.92,2.0419,Gradual Build,30.0
207,-0.01736685,-6.136828,0.25055462,394.85,2.1292,Gradual Build,30.0
208,-0.02702999,-6.092456,0.24524014,401.44,1.7828,Gradual Build,30.0
209,-0.02072141,-6.096368,0.22752209,405.42,2.0365,Gradual Build,30.0
210,-0.01582260,-6.157390,0.26357341,390.19,2.1935,Gradual Build,30.0
211,-0.02381095,-6.066051,0.26087987,397.08,1.8978,Gradual Build,30.0
212,0.00619265,-6.162288,0.28948811,333.84,2.5550,Gradual Build,30.0
213,-0.02686267,-6.030996,0.29707608,393.15,1.7403,Gradual Build,30.0
214,0.01427395,-6.099055,0.25609139,382.21,2.2444,Gradual Build,30.0
215,-0.00372500,-6.201167,0.22980765,298.88,2.6740,Gradual Build,30.0
216,-0.00450549,-6.217655,0.20102677,325.07,2.6103,Gradual Build,30.0
217,0.01523904,-6.224048,0.16914392,393.24,2.2374,Gradual Build,30.0
218,0.01699262,-6.322972,0.19421509,410.66,2.1955,Gradual Build,30.0
219,-0.00110112,-6.435697,0.19923910,208.61,2.7427,Gradual Build,30.0
220,0.01375014,-6.443778,0.20155165,388.15,2.3126,Gradual Build,30.0
221,0.00760967,-6.463637,0.20155939,361.47,2.5562,Gradual Build,30.0
222,-0.03349891,-6.298153,0.18770109,401.79,1.5238,Gradual Build,30.0
223,0.01371981,-6.318412,0.16416498,389.79,2.3122,Gradual Build,30.0
224,-0.00415621,-6.400280,0.18081562,326.33,2.7033,Gradual Build,30.0
225,-0.02270982,-6.331184,0.18901786,403.59,1.9678,Gradual Build,30.0
226,0.05565035,-6.067489,0.22549930,369.39,0.7872,Gradual Build,30.0
227,0.03538132,-6.039167,0.22049917,412.55,1.5504,Gradual Build,30.0
228,-0.01236857,-6.127151,0.19446251,389.93,2.2911,Gradual Build,30.0
229,-0.01721095,-6.149550,0.16795100,399.68,2.1425,Gradual Build,30.0
230,-0.03037730,-6.119549,0.14687997,407.63,1.6780,Gradual Build,30.0
231,0.02414635,-6.149534,0.19758567,404.07,1.8947,Gradual Build,30.0
232,0.01045316,-6.188491,0.19521090,376.75,2.3697,Gradual Build,30.0
233,-0.01144475,-6.268793,0.19184484,372.02,2.3480,Gradual Build,30.0
234,0.02816931,-6.178139,0.19891854,407.42,1.7301,Gradual Build,30.0
235,-0.00392546,-6.304829,0.19687930,318.77,2.6399,Gradual Build,30.0
236,-0.02996311,-6.190370,0.22331300,397.57,1.6472,Gradual Build,30.0
237,0.00042843,-6.309749,0.20257451,105.40,2.8829,Gradual Build,30.0
238,0.00791546,-6.373245,0.17062499,362.20,2.5706,Gradual Build,30.0
239,-0.03239669,-6.229136,0.23813985,395.33,1.5224,Gradual Build,30.0
240,-0.00417810,-6.344696,0.23881659,337.14,2.6621,Gradual Build,30.0
241,0.00050286,-6.452301,0.20018661,137.75,2.9281,Gradual Build,30.0
242,-0.00573728,-6.533292,0.20205969,350.64,2.7074,Gradual Build,30.0
243,-0.00698736,-6.590257,0.18698630,359.63,2.6945,Gradual Build,30.0
244,0.01026819,-6.712790,0.13640544,378.92,2.5600,Gradual Build,30.0
245,0.00408604,-6.804954,0.15775377,347.13,2.8333,Gradual Build,30.0
246,0.05181440,-6.383980,0.19363932,334.30,0.7609,Gradual Build,30.0
247,0.01607801,-6.422935,0.15282393,401.29,2.2264,Gradual Build,30.0
248,-0.00544031,-6.465008,0.15389088,347.98,2.6240,Gradual Build,30.0
249,-0.00520452,-6.516438,0.19352277,349.89,2.6437,Gradual Build,30.0
250,0.02582167,-6.423549,0.17389807,411.36,1.8424,Gradual Build,30.0
251,0.01102233,-6.464259,0.15701932,394.71,2.4586,Gradual Build,30.0
252,0.01605887,-6.506717,0.16485928,406.08,2.2566,Gradual Build,30.0
253,-0.00579721,-6.557200,0.12590493,367.86,2.6435,Gradual Build,30.0
254,-0.00401313,-6.659306,0.16566440,341.72,2.7052,Gradual Build,30.0
255,-0.01025895,-6.668915,0.16464764,380.23,2.5035,Gradual Build,30.0
256,-0.00125672,-6.719954,0.16352621,241.40,2.9403,Gradual Build,30.0
257,-0.01404171,-6.721297,0.18614529,397.74,2.3918,Gradual Build,30.0
258,0.00567840,-6.720912,0.20981567,355.76,2.7448,Gradual Build,30.0
259,0.03884601,-6.380865,0.23239355,368.88,1.2039,Gradual Build,30.0
260,-0.02532696,-6.327654,0.20491879,395.86,1.8213,Gradual Build,30.0
261,-0.00078501,-6.401542,0.20941234,145.37,2.9173,Gradual Build,30.0
262,-0.00825478,-6.485240,0.18510871,368.37,2.5815,Gradual Build,30.0
263,0.01342219,-6.455514,0.25253859,376.71,2.3246,Gradual Build,30.0
264,0.01729950,-6.455626,0.20191662,391.96,2.1807,Gradual Build,30.0
265,0.00039674,-6.563509,0.17466405,209.66,2.9095,Gradual Build,30.0
266,0.00560210,-6.621613,0.16470897,355.80,2.7087,Gradual Build,30.0
267,0.00433918,-6.638718,0.20032902,330.24,2.7805,Gradual Build,30.0
268,0.00828601,-6.680074,0.22406232,369.19,2.6692,Gradual Build,30.0
269,0.00348400,-6.778623,0.22184254,341.38,2.8703,Gradual Build,30.0
270,-0.01092864,-6.822087,0.21844155,379.80,2.5535,Gradual Build,30.0
